"Time","Fetch"
2021-12-01 16:22:40,0 B
2021-12-01 16:23:00,0 B
2021-12-01 16:23:20,0 B
2021-12-01 16:23:40,0 B
2021-12-01 16:24:00,0 B
2021-12-01 16:24:20,0 B
2021-12-01 16:24:40,0 B
2021-12-01 16:25:00,0 B
2021-12-01 16:25:20,0 B
2021-12-01 16:25:40,0 B
2021-12-01 16:26:00,0 B
2021-12-01 16:26:20,0 B
2021-12-01 16:26:40,0 B
2021-12-01 16:27:00,0 B
2021-12-01 16:27:20,0 B
2021-12-01 16:27:40,0 B
2021-12-01 16:28:00,0 B
2021-12-01 16:28:20,0 B
2021-12-01 16:28:40,0 B
2021-12-01 16:29:00,0 B
2021-12-01 16:29:20,0 B
2021-12-01 16:29:40,0 B
2021-12-01 16:30:00,0 B
2021-12-01 16:30:20,0 B
2021-12-01 16:30:40,0 B
2021-12-01 16:31:00,0 B
2021-12-01 16:31:20,0 B
2021-12-01 16:31:40,0 B
2021-12-01 16:32:00,0 B
2021-12-01 16:32:20,0 B
2021-12-01 16:32:40,0 B
2021-12-01 16:33:00,0 B
2021-12-01 16:33:20,0 B
2021-12-01 16:33:40,0 B
2021-12-01 16:34:00,0 B
2021-12-01 16:34:20,0 B
2021-12-01 16:34:40,0 B
2021-12-01 16:35:00,0 B
2021-12-01 16:35:20,0 B
2021-12-01 16:35:40,0 B
2021-12-01 16:36:00,0 B
2021-12-01 16:36:20,0 B
2021-12-01 16:36:40,0 B
2021-12-01 16:37:00,0 B
2021-12-01 16:37:20,0 B
2021-12-01 16:37:40,0 B
2021-12-01 16:38:00,0 B
2021-12-01 16:38:20,0 B
2021-12-01 16:38:40,0 B
2021-12-01 16:39:00,0 B
2021-12-01 16:39:20,0 B
2021-12-01 16:39:40,1.14 GB
2021-12-01 16:40:00,5.64 GB
2021-12-01 16:40:20,12.1 GB
2021-12-01 16:40:40,13.6 GB
2021-12-01 16:41:00,14.2 GB
2021-12-01 16:41:20,14.9 GB
2021-12-01 16:41:40,15.1 GB
2021-12-01 16:42:00,15.5 GB
2021-12-01 16:42:20,16.2 GB
2021-12-01 16:42:40,16.3 GB
2021-12-01 16:43:00,16.2 GB
2021-12-01 16:43:20,15.8 GB
2021-12-01 16:43:40,15.3 GB
2021-12-01 16:44:00,15.4 GB
2021-12-01 16:44:20,16.2 GB
2021-12-01 16:44:40,13.4 GB
2021-12-01 16:45:00,8.05 GB
2021-12-01 16:45:20,350 MB
2021-12-01 16:45:40,0 B
2021-12-01 16:46:00,0 B
2021-12-01 16:46:20,0 B
2021-12-01 16:46:40,0 B
2021-12-01 16:47:00,0 B
2021-12-01 16:47:20,0 B
2021-12-01 16:47:40,0 B
2021-12-01 16:48:00,0 B
2021-12-01 16:48:20,0 B
2021-12-01 16:48:40,0 B
2021-12-01 16:49:00,0 B
2021-12-01 16:49:20,0 B
2021-12-01 16:49:40,0 B
2021-12-01 16:50:00,0 B
2021-12-01 16:50:20,0 B
2021-12-01 16:50:40,0 B
2021-12-01 16:51:00,0 B
2021-12-01 16:51:20,0 B
2021-12-01 16:51:40,0 B
2021-12-01 16:52:00,0 B
2021-12-01 16:52:20,0 B
2021-12-01 16:52:40,0 B
2021-12-01 16:53:00,0 B
2021-12-01 16:53:20,0 B
2021-12-01 16:53:40,0 B
2021-12-01 16:54:00,0 B
2021-12-01 16:54:20,0 B
