"Time","Fetch"
2021-11-30 21:23:00,3.16 GB
2021-11-30 21:23:30,233 MB
2021-11-30 21:24:00,0 B
2021-11-30 21:24:30,0 B
2021-11-30 21:25:00,0 B
2021-11-30 21:25:30,0 B
2021-11-30 21:26:00,0 B
2021-11-30 21:26:30,0 B
2021-11-30 21:27:00,0 B
2021-11-30 21:27:30,0 B
2021-11-30 21:28:00,0 B
2021-11-30 21:28:30,0 B
2021-11-30 21:29:00,0 B
2021-11-30 21:29:30,0 B
2021-11-30 21:30:00,0 B
2021-11-30 21:30:30,0 B
2021-11-30 21:31:00,0 B
2021-11-30 21:31:30,0 B
2021-11-30 21:32:00,0 B
2021-11-30 21:32:30,0 B
2021-11-30 21:33:00,0 B
2021-11-30 21:33:30,0 B
2021-11-30 21:34:00,0 B
2021-11-30 21:34:30,0 B
2021-11-30 21:35:00,0 B
2021-11-30 21:35:30,0 B
2021-11-30 21:36:00,0 B
2021-11-30 21:36:30,0 B
2021-11-30 21:37:00,0 B
2021-11-30 21:37:30,0 B
2021-11-30 21:38:00,0 B
2021-11-30 21:38:30,0 B
2021-11-30 21:39:00,0 B
2021-11-30 21:39:30,0 B
2021-11-30 21:40:00,0 B
2021-11-30 21:40:30,0 B
2021-11-30 21:41:00,0 B
2021-11-30 21:41:30,0 B
2021-11-30 21:42:00,0 B
2021-11-30 21:42:30,0 B
2021-11-30 21:43:00,0 B
2021-11-30 21:43:30,0 B
2021-11-30 21:44:00,0 B
2021-11-30 21:44:30,0 B
2021-11-30 21:45:00,0 B
2021-11-30 21:45:30,0 B
2021-11-30 21:46:00,0 B
2021-11-30 21:46:30,0 B
2021-11-30 21:47:00,0 B
2021-11-30 21:47:30,0 B
2021-11-30 21:48:00,0 B
2021-11-30 21:48:30,0 B
2021-11-30 21:49:00,0 B
2021-11-30 21:49:30,0 B
2021-11-30 21:50:00,0 B
2021-11-30 21:50:30,0 B
2021-11-30 21:51:00,0 B
2021-11-30 21:51:30,0 B
2021-11-30 21:52:00,0 B
2021-11-30 21:52:30,0 B
2021-11-30 21:53:00,0 B
2021-11-30 21:53:30,0 B
2021-11-30 21:54:00,0 B
2021-11-30 21:54:30,0 B
2021-11-30 21:55:00,0 B
2021-11-30 21:55:30,0 B
2021-11-30 21:56:00,0 B
2021-11-30 21:56:30,0 B
2021-11-30 21:57:00,0 B
2021-11-30 21:57:30,0 B
2021-11-30 21:58:00,0 B
2021-11-30 21:58:30,0 B
2021-11-30 21:59:00,0 B
2021-11-30 21:59:30,0 B
2021-11-30 22:00:00,0 B
2021-11-30 22:00:30,0 B
2021-11-30 22:01:00,0 B
2021-11-30 22:01:30,0 B
2021-11-30 22:02:00,0 B
2021-11-30 22:02:30,0 B
2021-11-30 22:03:00,0 B
2021-11-30 22:03:30,0 B
2021-11-30 22:04:00,0 B
2021-11-30 22:04:30,0 B
2021-11-30 22:05:00,380 MB
2021-11-30 22:05:30,2.53 GB
2021-11-30 22:06:00,3.21 GB
2021-11-30 22:06:30,3.10 GB
2021-11-30 22:07:00,3.46 GB
2021-11-30 22:07:30,3.29 GB
2021-11-30 22:08:00,3.33 GB
2021-11-30 22:08:30,3.18 GB
2021-11-30 22:09:00,3.21 GB
2021-11-30 22:09:30,3.35 GB
2021-11-30 22:10:00,3.10 GB
2021-11-30 22:10:30,3.25 GB
2021-11-30 22:11:00,3.05 GB
2021-11-30 22:11:30,3.33 GB
2021-11-30 22:12:00,3.19 GB
2021-11-30 22:12:30,3.02 GB
2021-11-30 22:13:00,3.19 GB
2021-11-30 22:13:30,3.09 GB
2021-11-30 22:14:00,3.44 GB
2021-11-30 22:14:30,3.06 GB
2021-11-30 22:15:00,3.10 GB
2021-11-30 22:15:30,3.12 GB
2021-11-30 22:16:00,3.21 GB
2021-11-30 22:16:30,3.52 GB
2021-11-30 22:17:00,3.01 GB
2021-11-30 22:17:30,3.13 GB
2021-11-30 22:18:00,2.98 GB
2021-11-30 22:18:30,3.21 GB
2021-11-30 22:19:00,3.35 GB
2021-11-30 22:19:30,3.04 GB
2021-11-30 22:20:00,3.15 GB
2021-11-30 22:20:30,3.04 GB
2021-11-30 22:21:00,3.33 GB
2021-11-30 22:21:30,3.11 GB
2021-11-30 22:22:00,2.92 GB
2021-11-30 22:22:30,3.16 GB
2021-11-30 22:23:00,3.02 GB
2021-11-30 22:23:30,3.44 GB
2021-11-30 22:24:00,3.17 GB
2021-11-30 22:24:30,3.09 GB
2021-11-30 22:25:00,3.09 GB
2021-11-30 22:25:30,3.12 GB
2021-11-30 22:26:00,3.46 GB
2021-11-30 22:26:30,3.15 GB
2021-11-30 22:27:00,3.19 GB
2021-11-30 22:27:30,2.96 GB
2021-11-30 22:28:00,3.15 GB
2021-11-30 22:28:30,3.35 GB
2021-11-30 22:29:00,1.20 GB
2021-11-30 22:29:30,0 B
2021-11-30 22:30:00,0 B
2021-11-30 22:30:30,0 B
2021-11-30 22:31:00,0 B
2021-11-30 22:31:30,0 B
2021-11-30 22:32:00,0 B
2021-11-30 22:32:30,0 B
2021-11-30 22:33:00,0 B
2021-11-30 22:33:30,0 B
